job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00227,AI Product Manager,159643,USD,SE,PT,United States,S,United States,100,"Data Visualization, Linux, GCP, Hadoop",Master,5,Gaming,1/27/2024,3/3/2024,951,5.3,Digital Transformation LLC
AI00234,AI Research Scientist,173839,USD,SE,FL,United States,M,United States,100,"TensorFlow, Azure, Tableau, Data Visualization, Hadoop",Bachelor,5,Government,2/4/2025,3/26/2025,2409,5.1,Neural Networks Co
AI00241,Research Scientist,120749,USD,MI,FL,United States,M,Netherlands,50,"TensorFlow, MLOps, Kubernetes, SQL, Java",Associate,2,Retail,7/1/2024,8/30/2024,1860,6.5,Cognitive Computing
AI00248,Research Scientist,255678,USD,EX,CT,United States,M,Australia,0,"SQL, Statistics, Mathematics, TensorFlow, GCP",Bachelor,18,Telecommunications,4/12/2024,6/8/2024,2029,7.3,DataVision Ltd
AI00250,AI Research Scientist,146085,USD,SE,FT,United States,M,United States,100,"Git, Scala, NLP, Python",Associate,6,Technology,11/9/2024,1/14/2025,1642,6.4,Cognitive Computing
AI00262,Principal Data Scientist,69807,USD,EN,FT,United States,L,United States,0,"Data Visualization, Scala, Python, SQL, Linux",Bachelor,0,Transportation,12/14/2024,12/31/2024,1431,8.4,Smart Analytics
AI00266,AI Consultant,81885,USD,MI,PT,United States,S,United States,0,"Scala, GCP, MLOps, Python, Computer Vision",PhD,3,Retail,12/7/2024,2/5/2025,1057,9,Cloud AI Solutions
AI00268,Robotics Engineer,133565,USD,SE,PT,United States,S,South Korea,100,"R, Git, Statistics, Spark, Python",Master,5,Media,12/21/2024,2/26/2025,768,8,Cognitive Computing
AI00270,ML Ops Engineer,76875,USD,EN,PT,United States,M,Switzerland,0,"Docker, Hadoop, PyTorch, Python, Java",Bachelor,0,Transportation,4/15/2024,6/17/2024,1637,8.3,Algorithmic Solutions
AI00278,NLP Engineer,151610,USD,SE,PT,United States,L,United States,100,"TensorFlow, Kubernetes, Git, Computer Vision, Statistics",Associate,5,Retail,4/3/2025,5/22/2025,686,5.3,Cloud AI Solutions
AI00327,AI Architect,238449,USD,EX,PT,United States,M,United States,50,"Scala, Linux, Docker, Git",Associate,15,Gaming,1/15/2025,2/21/2025,1595,5.3,Cloud AI Solutions
AI00426,Autonomous Systems Engineer,101978,USD,MI,FT,United States,S,United States,0,"Java, GCP, SQL, MLOps",Master,3,Media,6/15/2024,7/17/2024,992,8.9,Cognitive Computing
AI00436,AI Software Engineer,100678,USD,MI,FT,United States,S,United States,100,"Deep Learning, Hadoop, R",PhD,4,Automotive,1/9/2024,2/18/2024,617,6.5,AI Innovations
AI00440,AI Software Engineer,94044,USD,EN,PT,United States,L,United States,100,"Docker, TensorFlow, AWS",PhD,1,Healthcare,2/18/2024,4/30/2024,1367,8.4,Autonomous Tech
AI00476,Autonomous Systems Engineer,171987,USD,SE,FL,United States,M,United States,100,"GCP, SQL, Kubernetes, R, PyTorch",Associate,6,Education,4/17/2025,5/24/2025,2063,5.4,Future Systems
AI00483,AI Product Manager,170702,USD,EX,FT,United States,S,United States,100,"Computer Vision, SQL, NLP, Hadoop, TensorFlow",Bachelor,13,Retail,5/7/2024,6/12/2024,1980,6.2,DeepTech Ventures
AI00532,AI Software Engineer,103806,USD,MI,CT,United States,L,United States,100,"NLP, Tableau, Azure, R",Associate,3,Finance,9/2/2024,10/1/2024,1905,8.3,Digital Transformation LLC
AI00536,Data Scientist,65226,USD,EN,FL,United States,S,United States,100,"Python, Git, TensorFlow",Associate,0,Consulting,6/11/2024,7/6/2024,642,8.2,Machine Intelligence Group
AI00578,Computer Vision Engineer,160078,USD,SE,FL,United States,L,Netherlands,50,"Spark, SQL, Python",PhD,5,Technology,5/2/2024,6/9/2024,2248,7.4,Neural Networks Co
AI00584,Machine Learning Engineer,148848,USD,SE,CT,United States,S,United States,0,"Java, R, PyTorch, Mathematics",Master,6,Education,1/19/2025,4/1/2025,2009,9.5,Cloud AI Solutions
AI00591,AI Product Manager,106583,USD,EN,FT,United States,L,United States,100,"Docker, PyTorch, SQL, Mathematics",Bachelor,1,Real Estate,9/7/2024,11/4/2024,1886,8.1,AI Innovations
AI00605,AI Architect,146023,USD,SE,FT,United States,M,United States,50,"Python, Docker, SQL, AWS, Scala",PhD,5,Finance,9/2/2024,10/10/2024,2193,6.3,Future Systems
AI00614,Data Scientist,99041,USD,EN,CT,United States,L,Ireland,50,"Python, GCP, Scala, Tableau, Git",Bachelor,1,Consulting,3/21/2024,4/4/2024,1042,9.2,Cognitive Computing
AI00618,Machine Learning Researcher,109969,USD,MI,CT,United States,L,Singapore,100,"Java, PyTorch, Tableau, MLOps, Kubernetes",PhD,4,Media,7/15/2024,9/19/2024,827,5.6,Predictive Systems
AI00628,Data Scientist,133372,USD,MI,FL,United States,L,United States,50,"Azure, GCP, Java, Kubernetes",Master,4,Transportation,3/22/2025,5/21/2025,1461,9.9,Neural Networks Co
AI00662,AI Specialist,112606,USD,MI,PT,United States,M,Canada,50,"Kubernetes, Python, NLP",Master,2,Technology,2/8/2024,3/10/2024,682,9.7,TechCorp Inc
AI00675,Machine Learning Engineer,231074,USD,EX,FL,United States,L,United States,0,"Java, Scala, MLOps, Data Visualization, Azure",Bachelor,17,Retail,7/19/2024,8/22/2024,1425,7.4,Smart Analytics
AI00696,Machine Learning Researcher,101302,USD,EN,PT,United States,L,Israel,50,"Data Visualization, AWS, Python, Kubernetes",Master,0,Telecommunications,9/9/2024,10/31/2024,1636,7.1,Advanced Robotics
AI00738,Data Scientist,94854,USD,EN,PT,United States,M,United States,0,"SQL, MLOps, Deep Learning",PhD,1,Education,10/6/2024,11/7/2024,2254,6.1,Predictive Systems
AI00760,Data Engineer,166340,USD,SE,FL,United States,L,United States,100,"Azure, Python, Linux, Kubernetes, SQL",Bachelor,6,Retail,5/7/2024,5/24/2024,1940,8.4,Predictive Systems
AI00761,Principal Data Scientist,140497,USD,SE,FL,United States,S,Israel,50,"Deep Learning, PyTorch, Computer Vision, Linux, Docker",Master,7,Technology,6/15/2024,7/16/2024,1340,7.5,Smart Analytics
AI00776,Data Scientist,96225,USD,MI,PT,United States,M,United States,50,"Python, R, Mathematics, Computer Vision",Master,4,Technology,3/11/2024,4/26/2024,983,9.9,DataVision Ltd
AI00783,Data Engineer,268001,USD,EX,FT,United States,S,United States,0,"R, Linux, Python, Computer Vision",Master,11,Real Estate,7/3/2024,8/2/2024,1883,9.4,Quantum Computing Inc
AI00790,AI Research Scientist,86453,USD,EN,PT,United States,L,United States,100,"Computer Vision, Spark, SQL, PyTorch",Bachelor,1,Energy,1/13/2025,3/18/2025,2482,10,Autonomous Tech
AI00793,Data Analyst,139082,USD,SE,FL,United States,S,Sweden,100,"Tableau, Scala, Docker, NLP",Master,9,Technology,6/30/2024,9/7/2024,2259,5.1,Neural Networks Co
AI00814,Machine Learning Engineer,63794,USD,EN,PT,United States,S,United States,100,"Docker, Tableau, Computer Vision",Master,1,Government,9/6/2024,10/13/2024,1754,7.1,TechCorp Inc
AI00820,AI Consultant,61684,USD,EN,FT,United States,S,United States,0,"TensorFlow, Deep Learning, Hadoop, Docker",Bachelor,1,Consulting,4/4/2024,5/1/2024,2000,8.6,Cognitive Computing
AI00837,AI Product Manager,123019,USD,MI,CT,United States,M,Netherlands,0,"MLOps, Mathematics, Deep Learning",Bachelor,4,Healthcare,4/28/2025,5/28/2025,2018,9.4,Machine Intelligence Group
AI00843,Principal Data Scientist,272996,USD,EX,CT,United States,M,United States,100,"Python, PyTorch, Mathematics",Associate,11,Energy,7/4/2024,8/6/2024,1583,8.7,Neural Networks Co
AI00858,AI Architect,73628,USD,EN,FT,United States,S,United States,0,"Computer Vision, Spark, NLP, Azure, Python",Bachelor,0,Energy,2/28/2024,4/29/2024,2019,7.4,Digital Transformation LLC
AI00869,Principal Data Scientist,68262,USD,EN,PT,United States,S,United States,0,"Scala, Python, Linux",Associate,1,Healthcare,3/9/2025,4/22/2025,947,6.9,Predictive Systems
AI00888,ML Ops Engineer,79588,USD,EN,FL,United States,S,United States,100,"Mathematics, R, Hadoop",Bachelor,0,Technology,10/29/2024,1/9/2025,1272,6.8,Future Systems
AI00900,Machine Learning Researcher,206257,USD,EX,CT,United States,S,United States,100,"GCP, Computer Vision, Git, Mathematics",Bachelor,16,Media,1/30/2025,2/21/2025,871,5.6,Cloud AI Solutions
AI00939,ML Ops Engineer,77274,USD,EN,FT,United States,S,United States,50,"Statistics, PyTorch, Java, Python, Kubernetes",Bachelor,0,Media,7/2/2024,7/27/2024,1806,8.9,Cognitive Computing
AI00968,AI Architect,140234,USD,SE,CT,United States,L,Denmark,0,"Tableau, Java, Computer Vision",Associate,6,Government,5/25/2024,6/12/2024,938,6.2,Future Systems
AI00971,AI Research Scientist,206831,USD,EX,PT,United States,M,United States,100,"Hadoop, PyTorch, AWS",Associate,10,Government,1/5/2024,3/17/2024,1833,5.3,Algorithmic Solutions
AI01007,Principal Data Scientist,85303,USD,MI,PT,United States,S,United States,100,"SQL, R, Azure, Hadoop, Kubernetes",Associate,3,Media,11/10/2024,12/21/2024,527,5.4,Algorithmic Solutions
AI01020,Data Analyst,108128,USD,MI,FL,United States,S,United States,50,"Linux, SQL, Azure, R",Bachelor,2,Government,4/22/2025,6/22/2025,1213,9.2,Autonomous Tech
AI01057,Data Engineer,127936,USD,MI,FT,United States,L,United States,0,"Deep Learning, Scala, Data Visualization, Docker",Bachelor,2,Education,9/6/2024,10/7/2024,1140,5.4,Digital Transformation LLC
AI01059,ML Ops Engineer,264300,USD,EX,FT,United States,L,United Kingdom,50,"Python, Scala, Computer Vision, TensorFlow",Associate,12,Technology,3/4/2024,4/15/2024,1805,8.6,Predictive Systems
AI01123,Machine Learning Engineer,118816,USD,SE,CT,United States,S,Australia,100,"NLP, Linux, Docker, R",Master,6,Healthcare,6/29/2024,8/30/2024,2204,5.3,Advanced Robotics
AI01133,Data Scientist,89495,USD,EN,FL,United States,M,United States,100,"Statistics, Mathematics, Computer Vision, PyTorch",PhD,1,Retail,1/17/2024,3/11/2024,1146,5.9,AI Innovations
AI01162,AI Architect,191681,USD,SE,FT,United States,L,United States,50,"Docker, Hadoop, Python, Linux, TensorFlow",Bachelor,7,Energy,10/1/2024,11/8/2024,1761,9.1,Smart Analytics
AI01169,AI Consultant,88462,USD,MI,FL,United States,S,Norway,100,"PyTorch, AWS, Statistics, TensorFlow",PhD,3,Gaming,11/10/2024,11/29/2024,1601,8.6,TechCorp Inc
AI01176,Machine Learning Researcher,219210,USD,EX,CT,United States,M,United States,100,"Java, R, TensorFlow, Mathematics",Master,11,Energy,2/12/2024,3/4/2024,2489,7.4,Machine Intelligence Group
AI01255,Data Analyst,62143,USD,EN,CT,United States,M,United States,50,"Git, Python, Docker, Tableau, Linux",Associate,1,Education,9/10/2024,10/13/2024,2349,5.7,Neural Networks Co
AI01282,Machine Learning Engineer,142753,USD,MI,CT,United States,L,United Kingdom,100,"Hadoop, SQL, Linux, Computer Vision",Associate,2,Education,9/23/2024,11/30/2024,1589,10,Advanced Robotics
AI01289,Autonomous Systems Engineer,197981,USD,EX,FT,United States,M,United States,50,"Spark, Computer Vision, NLP",Associate,16,Finance,12/3/2024,1/22/2025,1729,8.4,Cognitive Computing
AI01299,Data Analyst,159770,USD,SE,FL,United States,S,Australia,0,"Data Visualization, Hadoop, Kubernetes, Python, TensorFlow",Master,6,Transportation,1/19/2025,3/6/2025,1483,8.3,Cloud AI Solutions
AI01320,AI Architect,190447,USD,SE,PT,United States,L,United States,0,"GCP, Linux, Kubernetes, Scala, Azure",Bachelor,7,Energy,3/21/2024,5/3/2024,1669,8.6,Cognitive Computing
AI01363,AI Product Manager,78244,USD,EN,FL,United States,S,United States,50,"Git, Data Visualization, NLP",PhD,1,Healthcare,2/27/2025,4/10/2025,1466,9.4,DeepTech Ventures
AI01375,Data Analyst,103040,USD,EN,CT,United States,L,United States,0,"Linux, AWS, Azure",Master,1,Consulting,3/10/2025,4/19/2025,2473,9.6,Algorithmic Solutions
AI01407,Machine Learning Researcher,275914,USD,EX,PT,United States,M,United States,0,"PyTorch, Git, Computer Vision, Linux",Associate,11,Education,11/29/2024,12/31/2024,2147,6.7,Cloud AI Solutions
AI01448,Computer Vision Engineer,109585,USD,MI,CT,United States,S,United States,0,"SQL, Linux, Git, Python",Associate,3,Automotive,3/22/2025,4/13/2025,1657,5.2,DeepTech Ventures
AI01450,AI Research Scientist,206448,USD,EX,CT,United States,S,United States,100,"AWS, Kubernetes, NLP, Scala, Azure",Associate,11,Retail,7/19/2024,9/4/2024,1591,6.1,Quantum Computing Inc
AI01454,AI Architect,197656,USD,EX,PT,United States,M,United States,0,"Spark, R, Java, Hadoop",Associate,13,Automotive,12/15/2024,12/30/2024,922,6.8,Cognitive Computing
AI01475,AI Product Manager,75610,USD,EN,PT,United States,M,United States,100,"Deep Learning, Linux, SQL, Azure",Associate,1,Healthcare,10/22/2024,1/1/2025,2324,8.9,Digital Transformation LLC
AI01514,Head of AI,236415,USD,EX,FT,United States,S,United States,50,"Java, Spark, Scala",PhD,17,Government,3/14/2024,5/12/2024,517,5.4,Predictive Systems
AI01523,AI Product Manager,179544,USD,EX,CT,United States,S,United States,100,"Python, Kubernetes, Computer Vision, Azure, Linux",Associate,17,Retail,5/13/2024,6/30/2024,1053,6.1,DeepTech Ventures
AI01528,AI Research Scientist,94082,USD,EN,PT,United States,L,United States,0,"Scala, SQL, GCP, R, Python",Bachelor,1,Healthcare,2/17/2025,3/30/2025,1098,7.9,Predictive Systems
AI01575,Head of AI,139187,USD,SE,FL,United States,M,Australia,0,"TensorFlow, Java, Git, Computer Vision",Bachelor,9,Consulting,10/9/2024,11/8/2024,1009,8,Future Systems
AI01613,AI Consultant,74385,USD,EN,CT,United States,S,Netherlands,0,"SQL, Spark, Scala, R, Kubernetes",Bachelor,1,Transportation,1/3/2025,2/2/2025,2484,6.4,Algorithmic Solutions
AI01637,AI Product Manager,78059,USD,EN,FL,United States,S,United States,100,"Linux, Mathematics, AWS",Master,0,Manufacturing,1/15/2024,3/1/2024,1536,9.8,AI Innovations
AI01675,Head of AI,187375,USD,EX,CT,United States,L,Australia,50,"Java, Data Visualization, MLOps",PhD,11,Real Estate,1/19/2025,2/16/2025,2419,6.1,Neural Networks Co
AI01680,Data Scientist,116016,USD,SE,PT,United States,S,United States,100,"Spark, Azure, Data Visualization, Scala, Statistics",Bachelor,7,Retail,5/2/2024,7/6/2024,943,6.3,Cloud AI Solutions
AI01681,Principal Data Scientist,96466,USD,MI,CT,United States,S,United States,0,"Scala, Deep Learning, MLOps, Linux, Tableau",PhD,2,Government,12/16/2024,1/24/2025,1915,6.2,Cognitive Computing
AI01698,AI Architect,240150,USD,EX,FL,United States,M,France,50,"PyTorch, TensorFlow, Deep Learning, Tableau, GCP",Associate,11,Gaming,4/20/2024,5/9/2024,1686,7.2,Cloud AI Solutions
AI01715,Data Engineer,110941,USD,MI,CT,United States,L,United States,0,"GCP, Spark, Azure, Python",Associate,4,Telecommunications,4/26/2024,6/2/2024,2209,5.9,Quantum Computing Inc
AI01728,Research Scientist,223202,USD,EX,CT,United States,L,India,0,"MLOps, GCP, Kubernetes, Linux, Hadoop",PhD,10,Consulting,1/28/2024,3/29/2024,1193,8.5,Cognitive Computing
AI01744,AI Consultant,119598,USD,MI,PT,United States,M,Japan,100,"Statistics, Python, Kubernetes, Azure, AWS",Master,4,Technology,7/1/2024,8/12/2024,2316,7.7,Predictive Systems
AI01755,AI Specialist,209331,USD,EX,FT,United States,L,United States,0,"PyTorch, Deep Learning, Data Visualization, Kubernetes, GCP",Master,18,Telecommunications,12/15/2024,1/31/2025,1762,7,TechCorp Inc
AI01785,NLP Engineer,109340,USD,MI,FT,United States,M,United States,0,"Data Visualization, PyTorch, Mathematics, Computer Vision",PhD,2,Energy,1/30/2024,3/8/2024,1769,7.2,TechCorp Inc
AI01787,Machine Learning Engineer,125758,USD,MI,CT,United States,L,United States,100,"AWS, Java, MLOps",Bachelor,4,Retail,10/14/2024,11/3/2024,1759,9.9,Advanced Robotics
AI01806,Machine Learning Researcher,284282,USD,EX,FT,United States,L,United States,0,"Kubernetes, Scala, Deep Learning, Mathematics, Spark",Bachelor,13,Consulting,10/3/2024,10/25/2024,1094,7.1,DataVision Ltd
AI01905,Principal Data Scientist,108843,USD,EN,FL,United States,L,United Kingdom,0,"SQL, Scala, Mathematics, Statistics, PyTorch",PhD,1,Education,5/5/2024,7/2/2024,2361,6.2,Quantum Computing Inc
AI01971,Data Analyst,81594,USD,EN,CT,United States,L,United States,0,"Hadoop, Java, Kubernetes",Bachelor,1,Transportation,4/23/2025,6/19/2025,1196,8.5,Machine Intelligence Group
AI02014,Machine Learning Engineer,145626,USD,SE,CT,United States,M,France,50,"NLP, Computer Vision, Tableau, TensorFlow",Associate,9,Healthcare,1/3/2025,3/14/2025,838,9.5,Cloud AI Solutions
AI02020,AI Specialist,198340,USD,EX,PT,United States,L,United States,100,"NLP, R, Docker, SQL",Master,13,Transportation,3/8/2024,5/11/2024,1556,8.8,Advanced Robotics
AI02028,Computer Vision Engineer,295058,USD,EX,CT,United States,L,India,0,"Deep Learning, Git, AWS",Master,18,Manufacturing,12/13/2024,12/28/2024,1617,5.6,DeepTech Ventures
AI02029,Autonomous Systems Engineer,128911,USD,MI,CT,United States,M,United States,50,"Tableau, MLOps, Kubernetes, SQL",PhD,4,Energy,2/3/2024,3/11/2024,1717,8.3,Algorithmic Solutions
AI02033,Data Analyst,85852,USD,EN,FT,United States,L,India,50,"Kubernetes, PyTorch, Hadoop, Data Visualization",Associate,0,Technology,1/15/2025,3/1/2025,608,8.7,DataVision Ltd
AI02048,Data Engineer,87139,USD,EN,CT,United States,M,United States,100,"GCP, TensorFlow, Linux, Python",Associate,1,Retail,2/13/2025,3/20/2025,2361,6.7,AI Innovations
AI02097,Deep Learning Engineer,175364,USD,EX,CT,United States,S,Japan,0,"Git, PyTorch, AWS, Mathematics, Tableau",PhD,11,Finance,3/9/2024,5/21/2024,1747,6.1,TechCorp Inc
AI02102,AI Consultant,266051,USD,EX,FL,United States,M,United States,100,"TensorFlow, Git, PyTorch, Docker, NLP",Associate,16,Energy,9/16/2024,11/18/2024,1237,7.6,AI Innovations
AI02106,Machine Learning Researcher,97999,USD,MI,FL,United States,M,United States,50,"Java, AWS, Python",Bachelor,2,Manufacturing,3/7/2025,5/16/2025,1495,6.5,DeepTech Ventures
AI02127,Data Engineer,71084,USD,EN,FT,United States,S,United States,100,"NLP, Python, Spark, Data Visualization, Kubernetes",Bachelor,1,Gaming,4/26/2025,5/27/2025,2248,9.8,DataVision Ltd
AI02150,AI Product Manager,144181,USD,SE,PT,United States,L,United States,100,"Python, Data Visualization, TensorFlow, GCP, Mathematics",Associate,8,Transportation,5/11/2024,7/21/2024,2372,7.6,Cognitive Computing
AI02165,Head of AI,237312,USD,EX,FL,United States,L,Switzerland,0,"MLOps, Kubernetes, NLP",Bachelor,12,Gaming,1/23/2025,2/28/2025,661,7.4,Digital Transformation LLC
AI02178,Autonomous Systems Engineer,75835,USD,EN,FL,United States,L,Japan,0,"NLP, Java, Kubernetes, R, Mathematics",Master,1,Consulting,1/23/2025,2/18/2025,1408,9.3,Algorithmic Solutions
AI02228,Research Scientist,76846,USD,EN,FT,United States,S,United States,100,"PyTorch, Java, Azure, NLP",Associate,0,Retail,4/10/2024,6/18/2024,2419,8.3,Smart Analytics
AI02230,Deep Learning Engineer,113366,USD,MI,FL,United States,L,United States,50,"Kubernetes, Java, Git, GCP, Tableau",PhD,2,Retail,11/25/2024,12/20/2024,1095,5.2,Quantum Computing Inc
AI02232,Head of AI,79228,USD,EN,FT,United States,S,United States,50,"Linux, Python, Azure, Java, TensorFlow",Bachelor,0,Real Estate,1/6/2024,2/6/2024,1872,8.1,TechCorp Inc
AI02240,ML Ops Engineer,127193,USD,MI,CT,United States,M,United States,50,"Computer Vision, R, TensorFlow, GCP, Git",PhD,4,Real Estate,7/6/2024,9/3/2024,886,7.9,Smart Analytics
AI02245,Research Scientist,113629,USD,MI,FT,United States,S,United States,100,"SQL, MLOps, Scala",Associate,4,Education,3/8/2024,5/19/2024,2424,5.7,TechCorp Inc
AI02255,Computer Vision Engineer,188500,USD,EX,FT,United States,M,United States,50,"Java, R, Computer Vision, Git",PhD,12,Gaming,12/28/2024,2/11/2025,2258,9.5,Quantum Computing Inc
AI02297,AI Specialist,109004,USD,MI,FT,United States,L,United States,0,"Statistics, Mathematics, TensorFlow",PhD,3,Manufacturing,3/18/2024,5/16/2024,1361,8.6,AI Innovations
AI02325,Data Scientist,108968,USD,MI,PT,United States,S,United States,50,"Data Visualization, Kubernetes, NLP, Scala, Git",Bachelor,2,Energy,11/16/2024,1/22/2025,1184,5.7,DataVision Ltd
AI02326,AI Product Manager,76903,USD,EN,PT,United States,M,Germany,0,"MLOps, GCP, PyTorch",Master,0,Technology,2/16/2024,3/5/2024,1506,8,Digital Transformation LLC
AI02332,Data Analyst,211934,USD,EX,CT,United States,S,Sweden,50,"Linux, Scala, Hadoop, Kubernetes, Git",Associate,12,Energy,1/20/2025,2/20/2025,2341,8.8,DataVision Ltd
AI02472,Machine Learning Engineer,146531,USD,SE,FT,United States,S,United States,0,"PyTorch, Git, Mathematics, Scala, Hadoop",Bachelor,6,Automotive,1/18/2025,2/2/2025,1629,8,Cloud AI Solutions
AI02535,Machine Learning Researcher,107206,USD,MI,PT,United States,L,Finland,0,"Kubernetes, Python, Java",PhD,2,Technology,2/14/2024,3/2/2024,1865,8.1,Algorithmic Solutions
AI02545,Data Scientist,91286,USD,MI,FT,United States,M,Denmark,50,"Statistics, TensorFlow, Python",Bachelor,2,Gaming,3/21/2025,4/21/2025,574,8.8,Smart Analytics
AI02548,Robotics Engineer,263846,USD,EX,FT,United States,S,United States,0,"Azure, TensorFlow, Docker",Bachelor,11,Finance,2/19/2025,4/16/2025,671,9.3,AI Innovations
AI02561,Head of AI,342272,USD,EX,PT,United States,L,Austria,50,"Hadoop, Azure, NLP, Mathematics, GCP",Bachelor,18,Real Estate,5/14/2024,5/31/2024,1979,5.7,Neural Networks Co
AI02573,Robotics Engineer,170717,USD,SE,CT,United States,M,Israel,50,"MLOps, Scala, Deep Learning, GCP, NLP",PhD,6,Healthcare,7/14/2024,9/10/2024,947,8,Autonomous Tech
AI02584,AI Specialist,100150,USD,MI,FT,United States,S,United States,0,"Python, Docker, Hadoop, Linux, TensorFlow",Associate,4,Energy,1/28/2025,4/10/2025,1045,8.4,Future Systems
AI02606,Data Engineer,119490,USD,MI,CT,United States,L,Sweden,0,"Deep Learning, Python, R, Statistics",PhD,3,Consulting,6/6/2024,8/7/2024,1779,10,Smart Analytics
AI02639,AI Research Scientist,277303,USD,EX,FT,United States,L,United States,100,"Data Visualization, Mathematics, PyTorch, Computer Vision",PhD,13,Consulting,3/11/2025,5/13/2025,2256,7.6,Algorithmic Solutions
AI02651,Machine Learning Engineer,57234,USD,EN,FT,United States,S,United States,0,"Java, MLOps, PyTorch, Hadoop, AWS",Bachelor,1,Education,3/22/2024,5/2/2024,1998,7.1,AI Innovations
AI02664,Machine Learning Researcher,125276,USD,MI,CT,United States,M,France,100,"Mathematics, Python, MLOps, TensorFlow, Spark",Master,2,Transportation,3/20/2024,5/19/2024,554,9.3,DataVision Ltd
AI02682,Deep Learning Engineer,178443,USD,SE,FL,United States,L,China,50,"SQL, TensorFlow, Tableau, Computer Vision",Bachelor,7,Technology,9/14/2024,10/4/2024,1013,7.8,Autonomous Tech
AI02686,AI Software Engineer,161108,USD,EX,CT,United States,S,Sweden,0,"PyTorch, Linux, Java",Master,10,Education,1/16/2024,2/10/2024,1076,5.7,DeepTech Ventures
AI02747,Machine Learning Engineer,80627,USD,EN,FL,United States,L,United States,50,"Kubernetes, Scala, Linux, GCP",Associate,1,Consulting,5/2/2024,6/8/2024,856,10,Smart Analytics
AI02752,Machine Learning Engineer,183861,USD,EX,CT,United States,M,China,100,"Python, PyTorch, MLOps, Hadoop",PhD,13,Finance,5/24/2024,7/14/2024,1498,8.1,Future Systems
AI02776,AI Architect,112977,USD,MI,FL,United States,L,United States,50,"Linux, Scala, Hadoop",Master,4,Healthcare,10/30/2024,11/28/2024,2308,7.2,Algorithmic Solutions
AI02778,Autonomous Systems Engineer,138192,USD,SE,FL,United States,M,United States,100,"Java, Python, Statistics, Kubernetes, Scala",Associate,7,Technology,2/4/2024,3/22/2024,1855,9.4,Autonomous Tech
